fdc_id;name;category;protein;phe;phe_source;fat;carbs;energy
321360;Помидоры виноградные;Овощи;0,83;20,8;calculated;0,63;5,51;27,0
169143;Фасоль сухая;Бобовые;1,05;38,0;original;0,41;4,19;21,0
168596;Орехи миндаль обжаренные;Орехи и семена;21,00;1120,0;original;52,50;21,00;598,0
168421;Капуста;Овощи;2,92;150,0;original;1,49;4,42;35,0
172204;Яйцо;Яйца;81,10;4740,0;original;0,00;7,80;382,0
173431;Сыр пармезан;Сыры;37,90;2230,0;original;27,30;3,41;415,0
170853;Сыр американский d;Сыры;18,10;939,0;original;30,70;4,78;366,0
169932;Персики;Фрукты;4,89;154,0;original;1,03;83,20;325,0
168593;Ядра подсолнечника обжаренные;Орехи и семена;20,10;1030,0;original;51,30;22,90;592,0
172826;Хлеб;Яйца;9,00;444,0;original;4,00;54,40;293,0
168153;Киви;Фрукты;1,14;44,0;original;0,52;14,70;61,0
169914;Нектарины;Фрукты;1,06;21,0;original;0,32;10,60;44,0
170899;Сыр чеддер;Сыры;24,20;1260,0;original;33,80;2,13;410,0
173417;Сыр творожный молока;Сыры;12,40;668,0;original;1,02;2,72;72,0
170900;Сыр моцарелла низкой влажности;Сыры;23,60;1230,0;original;19,70;8,06;304,0
173428;Яйцо желток;Яйца;33,60;1470,0;original;59,10;0,66;669,0
330137;Йогурт греческий;Яйца;10,30;513,0;original;0,37;3,64;61,0
168567;Помидоры;Овощи;14,10;366,0;original;2,97;55,80;258,0
174199;Рыба пикша;Рыба и морепродукты;25,20;985,0;original;0,96;0,00;116,0
333476;Рыба минтай;Рыба и морепродукты;12,30;510,0;original;0,41;0,00;56,0
175157;Рыба тунец сухая;Рыба и морепродукты;26,50;1040,0;original;8,08;0,00;186,0
170393;Морковь;Овощи;0,93;61,0;original;0,24;9,58;41,0
171251;Сыр швейцарский;Сыры;27,00;1660,0;original;31,00;1,44;393,0
174665;Инжир;Фрукты;3,30;76,0;original;0,93;63,90;249,0
169092;Дыни дыня;Фрукты;0,84;23,0;original;0,19;8,16;34,0
746771;Апельсины пупки;Фрукты;0,91;51,0;original;0,15;11,80;47,0
746773;Груши бартлетт;Фрукты;0,38;13,0;original;0,16;15,10;57,0
170877;Молоко;Молочные продукты;36,20;1750,0;original;0,77;52,00;362,0
747447;Брокколи;Овощи;2,57;117,0;original;0,34;6,27;31,0
747997;Яичный белок;Яйца;10,70;726,0;original;0,00;2,36;55,0
748236;Яичный желток;Яйца;16,20;673,0;original;28,80;1,02;334,0
2710154;Масло;Другое;0,85;25,5;calculated;82,20;0,06;743,0
748967;Яйца;Яйца;12,40;660,0;original;9,96;0,96;148,0
168894;Мука пшеничная;Крупы и макароны;10,30;520,0;original;0,98;76,30;364,0
790146;Мука хлебная;Крупы и макароны;14,30;715,0;calculated;1,65;72,80;363,0
169714;Мука рисовая;Крупы и макароны;5,95;317,0;original;1,42;80,10;366,0
790276;Мука кукурузная;Крупы и макароны;6,20;186,0;calculated;1,74;80,80;364,0
790508;Сливочное масло;Другое;0,00;25,0;original;82,20;0,00;0,0
170075;Лук;Овощи;21,20;682,0;original;3,50;64,30;311,0
169230;Чеснок;Овощи;6,36;183,0;original;0,50;33,10;149,0
1104705;Мука соевая;Бобовые;51,10;2860,0;original;3,33;32,90;366,0
1104812;Мука ​​рис;Крупы и макароны;7,19;215,7;calculated;3,85;75,50;365,0
1104867;Мука рисовая клейкая;Крупы и макароны;6,69;200,7;calculated;1,16;80,10;358,0
1104913;Мука кондитерская;Крупы и макароны;8,75;262,5;calculated;1,64;77,20;358,0
173944;Бананы;Фрукты;1,09;49,0;original;0,33;22,80;89,0
173931;Яблоки;Фрукты;1,32;37,0;original;0,58;93,50;346,0
1999626;Гриб львиная грива;Овощи;2,50;703,0;original;0,26;7,59;0,0
1999627;Гриб устрица;Рыба и морепродукты;2,90;989,0;original;0,19;6,94;0,0
1999628;Грибы шиитаке;Овощи;2,41;787,0;original;0,20;8,17;0,0
1999629;Грибы кнопка;Яйца;2,89;1120,0;original;0,37;4,08;0,0
1999630;Молоко соевое;Бобовые;3,55;175,0;original;2,12;1,29;0,0
2257045;Миндальное молоко;Орехи и семена;0,66;43,0;original;1,56;0,67;0,0
168463;Шпинат;Овощи;2,97;134,0;original;0,26;3,75;23,0
1999634;Помидор;Овощи;0,70;17,4;calculated;0,42;3,84;0,0
2003586;Мука;Крупы и макароны;11,40;342,0;calculated;1,52;74,40;0,0
2003587;Мука полбяная;Крупы и макароны;14,50;435,0;calculated;2,54;70,70;0,0
2003588;Мука манная;Крупы и макароны;11,70;351,0;calculated;1,60;73,80;0,0
2257044;Соевое молоко;Бобовые;2,78;157,0;original;1,96;3,00;0,0
2257046;Овсяное молоко;Растительное молоко;0,80;72,0;original;2,75;5,10;0,0
2258586;Морковь зрелая;Овощи;0,94;23,5;calculated;0,35;10,30;0,0
2258590;Перец болгарский;Овощи;0,90;22,4;calculated;0,13;6,65;0,0
2259792;Пахта;Яйца;3,46;173,0;calculated;1,08;4,81;0,0
2261420;Мука ​​миндальная;Крупы и макароны;26,20;1179,0;calculated;50,20;16,20;0,0
169741;Мука овсяная;Крупы и макароны;14,70;441,0;calculated;9,12;65,70;404,0
2262075;Семена льна;Орехи и семена;18,00;1120,0;original;37,30;34,40;0,0
2346384;Творог;Молочные продукты;11,60;580,0;calculated;4,22;4,60;0,0
2346385;Сливочный сыр;Сыры;5,79;289,5;calculated;33,50;4,56;0,0
2346389;Салат-латук;Овощи;0,98;24,4;calculated;0,07;4,06;0,0
2346392;Орехи кедровые;Орехи и семена;15,70;593,0;original;61,30;18,60;0,0
2346393;Миндаль;Орехи и семена;21,50;1200,0;original;51,10;20,00;0,0
2346394;Орехи грецкие;Орехи и семена;14,60;607,0;original;69,70;10,90;0,0
2346395;Орехи пекан;Орехи и семена;9,96;462,0;original;73,30;12,70;0,0
169124;Ананас;Фрукты;0,54;21,0;original;0,12;13,10;50,0
2346399;Вишня;Фрукты;1,04;26,0;calculated;0,19;16,20;0,0
2346402;Картофель;Овощи;2,06;51,5;calculated;0,25;16,30;0,0
169989;Сельдерей;Овощи;0,83;24,0;original;0,16;4,00;18,0
169225;Огурец;Овощи;0,59;31,0;original;0,16;2,16;10,0
167762;Клубника;Ягоды;0,67;19,0;original;0,30;7,68;32,0
168997;Малина;Ягоды;1,12;33,6;calculated;0,28;13,80;62,0
171711;Черника;Ягоды;0,74;26,0;original;0,33;14,50;57,0
2346412;Виноград;Ягоды;0,91;22,9;calculated;0,16;20,20;0,0
171696;Яблочное пюре;Фрукты;0,16;5,0;original;0,17;17,50;68,0
2512371;Мука ​​амарант;Крупы и макароны;13,20;396,0;calculated;6,24;68,80;0,0
2512372;Мука ​​киноа;Крупы и макароны;11,90;357,0;calculated;6,60;69,50;0,0
2512373;Мука ​​сорго;Крупы и макароны;8,27;248,1;calculated;3,59;77,40;0,0
2512374;Мука ​​гречневая;Крупы и макароны;8,88;266,4;calculated;2,48;75,00;0,0
2512375;Мука ​​ржаная;Крупы и макароны;8,40;252,0;calculated;1,91;77,20;0,0
2512376;Мука ​​ячневая;Крупы и макароны;8,72;261,6;calculated;2,45;77,40;0,0
2512377;Мука ​​маниока;Крупы и макароны;0,92;27,5;calculated;0,49;87,30;0,0
170286;Гречка;Крупы и макароны;13,20;520,0;original;3,40;71,50;343,0
169702;Просо;Крупы и макароны;11,00;580,0;original;4,22;72,80;378,0
169756;Рис длиннозерный;Крупы и макароны;7,13;381,0;original;0,66;80,00;365,0
2515373;Орехи бразильские;Орехи и семена;15,00;675,0;calculated;57,40;21,60;0,0
170162;Орехи кешью;Орехи и семена;18,20;951,0;original;43,80;30,20;553,0
170583;Орехи фундук;Орехи и семена;15,00;667,0;original;62,40;17,60;646,0
2707515;Арахис;Орехи и семена;28,00;1260,0;calculated;52,50;15,30;599,0
2515377;Мука ​​каштановая;Крупы и макароны;5,29;238,1;calculated;4,64;80,50;0,0
170178;Орехи макадамия;Орехи и семена;7,91;665,0;original;75,80;13,80;718,0
169426;Орехи фисташки;Орехи и семена;21,00;1140,0;original;45,80;27,60;569,0
2515380;Семена тыквы;Орехи и семена;29,90;1345,5;calculated;40,00;18,70;0,0
2515381;Семена подсолнечные;Орехи и семена;18,90;850,5;calculated;48,40;24,50;0,0
2515382;Мука ​​кокосовая;Крупы и макароны;16,10;724,5;calculated;15,30;58,90;0,0
2644282;Нут;Бобовые;21,30;958,5;calculated;6,27;60,40;0,0
172420;Чечевица;Бобовые;24,60;1220,0;original;1,06;63,40;352,0
170419;Горошек;Бобовые;5,42;200,0;original;0,40;14,40;81,0
170886;Йогурт;Молочные продукты;5,25;286,0;original;1,55;7,04;63,0
170850;Сыр проволоне;Сыры;25,60;1290,0;original;26,60;2,14;351,0
175167;Рыба лосось;Рыба и морепродукты;20,40;845,0;original;13,40;0,00;208,0
2684442;Рыба тилапия;Рыба и морепродукты;19,00;950,0;calculated;2,48;0,00;0,0
2684443;Ракообразные креветки;Рыба и морепродукты;15,60;780,0;calculated;0,80;0,48;0,0
2684444;Рыба треска;Рыба и морепродукты;16,10;805,0;calculated;0,67;0,00;0,0
2684445;Рыба сом;Рыба и морепродукты;16,50;825,0;calculated;7,31;0,00;0,0
2684446;Ракообразные крабовые;Рыба и морепродукты;18,60;930,0;calculated;0,81;0,00;0,0
2685568;Кабачки;Овощи;0,98;24,6;calculated;0,20;3,27;0,0
2685572;Капуста бок-чой;Овощи;1,02;25,5;calculated;0,23;3,51;0,0
