fdc_id;name;category;protein;phe;phe_source;fat;carbs;energy
321358;Хумус, коммерческий;Бобовые;7,35;330,8;calculated;17,10;14,90;229,0
321360;Помидоры виноградные сырые;Овощи;0,83;20,8;calculated;0,63;5,51;27,0
321611;Фасоль зеленая, консервированная, обычная упаковка, без сухих веществ;Бобовые;1,04;46,8;calculated;0,39;4,11;21,0
323121;Франкфуртер, говядина, неотапливаемый;Мясо;11,70;585,0;calculated;28,00;2,89;314,0
323294;Орехи, миндаль, обжаренные в сухом виде, с добавлением соли;Орехи и семена;20,40;918,0;calculated;57,80;16,20;620,0
323505;Капуста, сырая;Овощи;2,92;73,0;calculated;1,49;4,42;35,0
323604;Яйцо целое, сырое, замороженное, пастеризованное;Яйца;12,30;615,0;calculated;10,30;0,91;150,0
323697;Яйцо белое, сырое, замороженное, пастеризованное;Яйца;10,10;505,0;calculated;0,16;0,74;48,0
323793;Яйцо белое, сушеное;Яйца;79,90;3995,0;calculated;0,65;6,02;376,0
324317;Луковые кольца в панировке, обжаренные, замороженные, подготовленные, нагретые в духовке;Хлеб и выпечка;4,52;135,6;calculated;14,40;36,30;288,0
324653;Соленые огурцы, огурец, укроп или кошерный укроп;Овощи;0,48;12,0;calculated;0,43;1,99;12,0
325036;Сыр, пармезан, тертый;Сыры;29,60;1480,0;calculated;28,00;12,40;421,0
325198;Сыр, пастеризованный, американский, обогащенный витамином D.;Сыры;18,00;900,0;calculated;30,60;5,27;366,0
325287;Грейпфрутовый сок, белый, консервированный или бутилированный, несладкий;Яйца;0,55;27,5;calculated;0,70;7,59;37,0
325430;Персики, желтые, сырые;Фрукты;0,91;18,0;original;0,27;10,10;42,0
325524;Семена, ядра семян подсолнечника, обжаренные всухую, с добавлением соли;Орехи и семена;21,00;945,0;calculated;56,10;17,10;612,0
325871;Хлеб белый, промышленного приготовления;Яйца;9,43;471,5;calculated;3,59;49,20;270,0
326196;Капуста замороженная, приготовленная, вареная, сушеная, без соли;Овощи;2,94;73,5;calculated;1,21;5,30;36,0
326698;Горчица готовая, желтая;Другое;4,25;177,0;original;3,38;5,30;61,0
327046;Киви, зеленый, сырой;Фрукты;1,06;39,0;original;0,44;14,00;58,0
327357;Нектарины, сырые;Фрукты;1,06;10,0;original;0,28;9,18;39,0
328637;Сыр, Чеддер;Сыры;23,30;1165,0;calculated;34,00;2,44;408,0
328841;Сыр творожный нежирный, 2% жирности молока;Сыры;11,00;550,0;calculated;2,30;4,31;84,0
329370;Сыр, моцарелла, низкой влажности, частично обезжиренный;Сыры;23,70;1185,0;calculated;20,40;4,44;298,0
329490;Яйцо целое, сушеное;Яйца;48,10;2405,0;calculated;39,80;1,87;575,0
329596;Яйцо, желток, сырое, замороженное, пастеризованное;Яйца;15,60;780,0;calculated;25,10;0,59;296,0
329716;Яйцо, желток, сушеный;Яйца;34,20;1710,0;calculated;55,50;1,07;654,0
330137;Йогурт греческий, простой, обезжиренный;Яйца;10,30;513,0;original;0,37;3,64;61,0
330415;Йогурт греческий, клубничный, обезжиренный;Яйца;8,06;403,0;calculated;0,15;12,20;83,0
330458;Масло, кокос.;Орехи и семена;0,00;0,0;empty;99,10;0,84;833,0
331897;Курица, бройлеры или жареные цыплята, голень, только мясо, приготовленное, тушеное;Мясо;23,90;1195,0;calculated;5,95;0,00;156,0
331960;Курица, бройлер или фритюрница, грудка, без кожи, без костей, только мясо, приготовленная, тушеная;Мясо;32,10;1605,0;calculated;3,24;0,00;166,0
332282;Соус, макароны, спагетти/маринара, готовые к употреблению;Крупы и макароны;1,41;42,3;calculated;1,48;8,05;45,0
332397;Ветчина, нарезанная, расфасованная, мясные деликатесы (96% обезжиренный, с добавлением воды);Мясо;16,70;835,0;calculated;3,73;0,27;106,0
332791;Оливки зеленые, Мансанилья, фаршированные перцем;Овощи;1,15;28,7;calculated;12,90;4,96;130,0
333008;Печенье овсяное, мягкое, с изюмом;Хлеб и выпечка;5,79;173,7;calculated;14,30;69,60;430,0
333281;Помидоры, консервированные, красные, спелые, нарезанные кубиками;Овощи;0,84;21,0;calculated;0,50;3,32;18,0
333374;Рыба, пикша, сырая;Рыба и морепродукты;16,30;815,0;calculated;0,45;0,00;74,0
333476;Рыба, минтай, сырая;Рыба и морепродукты;12,30;510,0;original;0,41;0,00;56,0
334194;Рыба, тунец, легкая, консервированная в воде, с сухими сухими веществами;Рыба и морепродукты;19,00;950,0;calculated;0,94;0,08;90,0
334536;Ресторан, китайский, жареный рис, без мяса;Мясо;3,84;192,0;calculated;3,19;32,50;174,0
334628;Ресторан, Латиноамериканка, тамале, свинина;Мясо;7,38;235,0;original;9,04;15,80;174,0
334720;Ресторан, Латиноамериканская кухня, Putusas con frijoles (дымка, бобы);Бобовые;5,59;300,0;original;9,01;31,50;229,0
335240;Хлеб цельнозерновой промышленного приготовления;Хлеб и выпечка;12,30;369,0;calculated;3,55;43,10;254,0
746758;Говядина, корейка, жареная вырезка, только отделяемое постное мясо, без костей, обрезанное до 0 дюймов жира, отборное, приготовленное, жареное;Мясо;27,70;1385,0;calculated;6,36;0,00;176,0
746759;Говядина, корейка, стейк из верхней части корейки, без костей, с губами, только отделяемое постное мясо, с обрезанным жиром до 1/8 дюйма, отборное, сырое;Мясо;22,80;1140,0;calculated;6,39;0,00;155,0
746760;Говядина, круглая, глазок жаркого, без костей, только отделяемое постное мясо, с обрезанной до 0 дюймов жира, отборное, сырое;Мясо;23,40;1170,0;calculated;2,48;0,00;122,0
746761;Говядина, круглая, обжаренная сверху, без костей, только отделяемое постное мясо, с обрезанной до 0 дюймов жира, отборная, сырая;Мясо;23,70;1185,0;calculated;2,41;0,00;123,0
746762;Говядина, короткая корейка, стейк портерхаус, только отделяемое постное мясо, с обрезанным жиром до 1/8 дюйма, отборное, сырое;Мясо;22,70;1135,0;calculated;5,32;0,00;145,0
746763;Говядина, короткая корейка, стейк на косточке, на кости, только отделяемое постное мясо, обрезанное до 1/8 дюйма жира, на выбор, приготовленное, на гриле;Мясо;27,30;1365,0;calculated;11,40;0,00;219,0
746764;Морковь, замороженная, неподготовленная;Овощи;0,81;42,0;original;0,47;7,92;37,0
746765;Сыр белый сухой, queso seco;Сыры;24,50;1170,0;original;24,30;2,07;326,0
746766;Сыр, рикотта, цельное молоко;Сыры;7,81;270,0;original;11,00;6,86;157,0
746767;Сыр, швейцарский;Сыры;27,00;1350,0;calculated;31,00;1,44;393,0
746768;Инжир сушеный, сырой;Фрукты;3,30;69,0;original;0,92;63,90;249,0
746769;Салат кос или ромэн, сырой;Овощи;1,24;66,0;original;0,26;3,24;17,0
746770;Дыни, дыня, сырые;Фрукты;0,82;19,0;original;0,18;8,16;34,0
746771;Апельсины сырые, пупки;Фрукты;0,91;51,0;original;0,15;11,80;47,0
746772;Молоко обезжиренное, жидкое, 1% молочного жира, с добавлением витамина А и витамина D.;Яйца;3,38;168,0;original;0,95;5,18;43,0
746773;Груши сырые, бартлетт;Фрукты;0,38;13,0;original;0,16;15,10;57,0
746774;Ресторан, китайская, кисло-сладкая свинина;Мясо;8,88;343,0;original;13,60;25,50;260,0
746775;Соль поваренная йодированная;Другое;0,00;0,0;empty;0,00;0,00;0,0
746776;Молоко обезжиренное, жидкое, с добавлением витамина А и витамина D (обезжиренное или обезжиренное);Яйца;3,43;168,0;original;0,08;4,92;34,0
746777;Соус, сальса, готово к употреблению;Овощи;1,44;36,0;calculated;0,19;6,74;29,0
746778;Молоко с пониженным содержанием жира, жидкое, 2% молочного жира, с добавлением витамина А и витамина D.;Яйца;3,36;163,0;original;1,90;4,90;50,0
746779;Колбаса, колбаса для завтрака, говядина, полуфабрикаты, неподготовленные;Мясо;13,30;600,0;original;28,70;3,37;328,0
746780;Колбаса, итальянская, свиная, неострая, приготовленная, обжаренная на сковороде;Мясо;18,20;910,0;calculated;26,20;2,15;322,0
746781;Колбаса, свинина, чоризо, звено или фарш, приготовленные, обжаренные на сковороде;Мясо;19,30;965,0;calculated;28,10;2,63;346,0
